Month,Agency,Police Force,Metric,Total
06/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,6
06/01/2023,MNR,MTAPD,All Other Criminal Summons,70
07/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,10489
07/01/2023,NYCT Subway,NYPD,Other Arrests,691
07/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,363
07/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,109
07/01/2023,NYCT Subway,NYPD,All Other Summons,4466
07/01/2023,NYCT,MTAPD,Fare Evasion Summons,570
07/01/2023,LIRR,MTAPD,Arrests,60
07/01/2023,LIRR,MTAPD,All Other Criminal Summons,98
07/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,62
07/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,10
07/01/2023,MNR,MTAPD,Arrests,48
07/01/2023,MNR,MTAPD,All Other Criminal Summons,46
08/01/2023,NYCT Subway,NYPD,All Other Summons,5053
08/01/2023,NYCT Subway,NYPD,Other Arrests,794
08/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,10682
08/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,435
08/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,108
08/01/2023,NYCT,MTAPD,Fare Evasion Summons,314
08/01/2023,LIRR,MTAPD,Arrests,86
08/01/2023,LIRR,MTAPD,All Other Criminal Summons,183
08/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,45
08/01/2023,MNR,MTAPD,All Other Criminal Summons,88
08/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,13
08/01/2023,MNR,MTAPD,Arrests,55
09/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,11034
09/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,442
09/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,109
09/01/2023,NYCT Subway,NYPD,All Other Summons,4834
09/01/2023,NYCT Subway,NYPD,Other Arrests,696
09/01/2023,NYCT,MTAPD,Fare Evasion Summons,233
09/01/2023,LIRR,MTAPD,All Other Criminal Summons,118
09/01/2023,LIRR,MTAPD,Arrests,80
09/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,44
09/01/2023,MNR,MTAPD,All Other Criminal Summons,74
09/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,7
09/01/2023,MNR,MTAPD,Arrests,55
10/01/2023,NYCT Subway,NYPD,Other Arrests,755
10/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,11013
10/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,518
10/01/2023,NYCT Subway,NYPD,All Other Summons,4800
10/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,130
10/01/2023,NYCT,MTAPD,Fare Evasion Summons,293
10/01/2023,LIRR,MTAPD,Arrests,85
10/01/2023,LIRR,MTAPD,All Other Criminal Summons,58
10/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,59
10/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,7
10/01/2023,MNR,MTAPD,All Other Criminal Summons,51
10/01/2023,MNR,MTAPD,Arrests,84
11/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,470
11/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,10329
11/01/2023,NYCT Subway,NYPD,Other Arrests,774
11/01/2023,NYCT Subway,NYPD,All Other Summons,4529
11/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,94
11/01/2023,NYCT,MTAPD,Fare Evasion Summons,165
11/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,75
11/01/2023,LIRR,MTAPD,Arrests,75
11/01/2023,LIRR,MTAPD,All Other Criminal Summons,42
11/01/2023,MNR,MTAPD,All Other Criminal Summons,25
11/01/2023,MNR,MTAPD,Arrests,54
11/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,9
12/01/2023,NYCT Subway,NYPD,All Other Summons,4613
12/01/2023,NYCT Subway,NYPD,Fare Evasion Arrests,369
12/01/2023,NYCT Subway,NYPD,Fare Evasion TABS Summons,8837
12/01/2023,NYCT Subway,NYPD,Fare Evasion Criminal Summons,98
12/01/2023,NYCT Subway,NYPD,Other Arrests,714
12/01/2023,NYCT,MTAPD,Fare Evasion Summons,107
12/01/2023,LIRR,MTAPD,Arrests,85
12/01/2023,LIRR,MTAPD,Fare Evasion Criminal Summons,96
12/01/2023,LIRR,MTAPD,All Other Criminal Summons,125
12/01/2023,MNR,MTAPD,All Other Criminal Summons,98
12/01/2023,MNR,MTAPD,Arrests,51
12/01/2023,MNR,MTAPD,Fare Evasion Criminal Summons,7
01/01/2024,NYCT Subway,NYPD,All Other Summons,5371
01/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,11008
01/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,624
01/01/2024,NYCT Subway,NYPD,Other Arrests,909
01/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,145
01/01/2024,NYCT,MTAPD,Fare Evasion Summons,412
01/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,101
01/01/2024,LIRR,MTAPD,All Other Criminal Summons,119
01/01/2024,LIRR,MTAPD,Arrests,130
01/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,11
01/01/2024,MNR,MTAPD,All Other Criminal Summons,47
01/01/2024,MNR,MTAPD,Arrests,87
02/01/2024,NYCT Subway,NYPD,All Other Summons,6306
02/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,9746
02/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,536
02/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,100
02/01/2024,NYCT Subway,NYPD,Other Arrests,932
02/01/2024,NYCT,MTAPD,Fare Evasion Summons,239
02/01/2024,LIRR,MTAPD,Arrests,78
02/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,100
02/01/2024,LIRR,MTAPD,All Other Criminal Summons,72
02/01/2024,MNR,MTAPD,Arrests,46
02/01/2024,MNR,MTAPD,All Other Criminal Summons,30
02/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,11
03/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,589
03/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,10868
03/01/2024,NYCT Subway,NYPD,Other Arrests,995
03/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,115
03/01/2024,NYCT Subway,NYPD,All Other Summons,6495
03/01/2024,NYCT,MTAPD,Fare Evasion Summons,220
03/01/2024,LIRR,MTAPD,All Other Criminal Summons,150
03/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,56
03/01/2024,LIRR,MTAPD,Arrests,120
03/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,6
03/01/2024,MNR,MTAPD,Arrests,124
03/01/2024,MNR,MTAPD,All Other Criminal Summons,194
04/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,10898
04/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,770
04/01/2024,NYCT Subway,NYPD,Other Arrests,962
04/01/2024,NYCT Subway,NYPD,All Other Summons,5598
04/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,114
04/01/2024,NYCT,MTAPD,Fare Evasion Summons,223
04/01/2024,LIRR,MTAPD,All Other Criminal Summons,111
04/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,50
04/01/2024,LIRR,MTAPD,Arrests,137
04/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,10
04/01/2024,MNR,MTAPD,All Other Criminal Summons,174
04/01/2024,MNR,MTAPD,Arrests,106
05/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,12389
05/01/2024,NYCT Subway,NYPD,Other Arrests,997
05/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,141
05/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,781
05/01/2024,NYCT Subway,NYPD,All Other Summons,5763
05/01/2024,NYCT,MTAPD,Fare Evasion Summons,322
05/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,55
05/01/2024,LIRR,MTAPD,Arrests,145
05/01/2024,LIRR,MTAPD,All Other Criminal Summons,201
05/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,8
05/01/2024,MNR,MTAPD,Arrests,86
05/01/2024,MNR,MTAPD,All Other Criminal Summons,315
06/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,873
06/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,130
06/01/2024,NYCT Subway,NYPD,All Other Summons,5547
06/01/2024,NYCT Subway,NYPD,Other Arrests,973
06/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,13080
06/01/2024,NYCT,MTAPD,Fare Evasion Summons,272
06/01/2024,LIRR,MTAPD,Arrests,149
06/01/2024,LIRR,MTAPD,All Other Criminal Summons,108
06/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,252
06/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,33
06/01/2024,MNR,MTAPD,Arrests,116
06/01/2024,MNR,MTAPD,All Other Criminal Summons,86
07/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,888
07/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,12877
07/01/2024,NYCT Subway,NYPD,All Other Summons,5167
07/01/2024,NYCT Subway,NYPD,Other Arrests,968
07/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,170
07/01/2024,NYCT,MTAPD,Fare Evasion Summons,262
07/01/2024,LIRR,MTAPD,Arrests,187
07/01/2024,LIRR,MTAPD,All Other Criminal Summons,301
07/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,392
07/01/2024,MNR,MTAPD,All Other Criminal Summons,266
07/01/2024,MNR,MTAPD,Arrests,89
07/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,35
08/01/2024,NYCT Subway,NYPD,Other Arrests,1074
08/01/2024,NYCT Subway,NYPD,Fare Evasion Criminal Summons,143
08/01/2024,NYCT Subway,NYPD,Fare Evasion TABS Summons,13319
08/01/2024,NYCT Subway,NYPD,Fare Evasion Arrests,1066
08/01/2024,NYCT Subway,NYPD,All Other Summons,5687
08/01/2024,NYCT,MTAPD,Fare Evasion Summons,470
08/01/2024,LIRR,MTAPD,All Other Criminal Summons,492
08/01/2024,LIRR,MTAPD,Fare Evasion Criminal Summons,294
08/01/2024,LIRR,MTAPD,Arrests,188
08/01/2024,MNR,MTAPD,All Other Criminal Summons,352
08/01/2024,MNR,MTAPD,Fare Evasion Criminal Summons,30
08/01/2024,MNR,MTAPD,Arrests,85
